year,Total_FA_Conc_WWT,Total_FA_Conc_DWT,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
2019,NA,NA,2019-66,201901,O-31,0.0133047665657412,526.1272315761246,162,178,2,78.67,0,145.7,0.9085,0.1495,4/12/2021,0,59.65589,-177.1321,176,3.3,5,EBS,8,0.16455696202531644,16.455696202531644,NA,6.076923076923077
2019,55.78,289.67,2019-67,201901,O-31,0.0133047665657412,526.1272315761246,162,178,2,78.89,0,141.2,1.6331,0.3145,4/12/2021,0,59.65589,-177.1321,176,3.3,5,EBS,8,0.19257853162696711,19.257853162696712,289.64806995230526,5.19268680445151
2019,79.43,79.92,2019-68,201901,O-31,0.0133047665657412,526.1272315761246,162,178,2,75.07,0,127.1,0.7911,0.2033,4/12/2021,0,59.65589,-177.1321,176,3.3,5,EBS,8,0.2569839464037416,25.69839464037416,309.0854549926218,3.8912936546974914
2019,92.41,368.4,2019-69,201902,W-27,0.01495924640185965,67622.14170589813,162,1,2,53.76,0,49.4,0.8057,0.2021,4/12/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.25083778081171654,25.083778081171655,368.4054280059376,3.986640277090549
2019,49.9,309.97,2019-70,201901,P-32,0.0128599786060482,388.803135150508,162,180,1,65.21,NA,82.6,0.9008,0.145,4/12/2021,NA,60.00657,-177.89505,141,2.7,5,EBS,8,0.16096802841918292,16.096802841918294,309.9994482758621,6.212413793103449
2019,124.53,411.15,2019-71,201901,P-32,0.0128599786060482,388.803135150508,162,180,2,72.8,0,114.7,0.8023,0.243,4/12/2021,0,60.00657,-177.89505,141,2.7,5,EBS,8,0.3028792222360713,30.28792222360713,411.15398765432104,3.3016460905349794
2019,71.37,329.94,2019-72,201902,W-27,0.01495924640185965,67622.14170589813,162,1,2,56.01,0,55.1,0.656,0.1419,4/12/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.2163109756097561,21.63109756097561,329.94164904862583,4.622973925299507
2019,129.21,530.29,2019-73,201902,W-27,0.01495924640185965,67622.14170589813,162,1,2,54.33,0,49.3,0.5676,0.1383,4/16/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.24365750528541227,24.365750528541227,530.2935357917571,4.10412147505423
2019,131.1,435.1,2019-74,201902,W-27,0.01495924640185965,67622.14170589813,162,1,2,57.59,0,51.8,0.6704,0.202,4/16/2021,0,62.31661,-175.31904,80,0.2,7,NBS,10,0.3013126491646778,30.13126491646778,435.09623762376236,3.3188118811881187
2019,91.09,328.31,2019-75,201902,FF-01,0.01325117993467125,45227.542223006465,162,17,2,44.07,0,30.5,0.5572,0.1546,4/16/2021,0,65.33502,-168.38779,53,3.9,9,NBS,13,0.27745872218234024,27.745872218234023,328.3010866752911,3.604139715394567
2019,102.49,432.95,2019-76,201902,FF-01,0.01325117993467125,45227.542223006465,162,17,2,43.64,0,26.2,0.5437,0.1287,4/16/2021,0,65.33502,-168.38779,53,3.9,9,NBS,13,0.23671142173993015,23.671142173993015,432.9744599844599,4.224553224553224
2019,69.75,277.86,2019-77,201902,FF-01,0.01325117993467125,45227.542223006465,162,17,2,43.2,0,24,0.641,0.1609,4/16/2021,0,65.33502,-168.38779,53,3.9,9,NBS,13,0.25101404056162246,25.101404056162245,277.87290242386575,3.9838408949658177
2019,92.3,356.69,2019-78,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,57.31,0,63.6,0.7926,0.2051,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.25876860963916226,25.876860963916226,356.6893222818137,3.864456362749878
2019,153.84,436.57,2019-79,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,47.46,0,36.8,0.5494,0.1936,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.3523844193665817,35.23844193665817,436.56867768595043,2.837809917355372
