REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
EBS,KJ2726,-173.85,58.17,PRE1981_MISC
EBS,L-01,-167.87,58.67,STANDARD
EBS,L-02,-167.22,58.67,STANDARD
EBS,L-03,-166.57,58.67,STANDARD
EBS,L-04,-165.93,58.67,STANDARD
EBS,L-05,-165.3,58.67,STANDARD
EBS,L-06,-164.65,58.67,STANDARD
EBS,L-07,-164,58.67,STANDARD
EBS,L-08,-163.35,58.67,STANDARD
EBS,L-09,-162.7,58.67,STANDARD
EBS,L-18,-168.5,58.67,STANDARD
EBS,L-19,-169.15,58.67,STANDARD
EBS,L-20,-169.78,58.67,STANDARD
EBS,L-21,-170.43,58.67,STANDARD
EBS,L-22,-171.08,58.67,STANDARD
EBS,L-23,-171.72,58.67,STANDARD
EBS,L-24,-172.37,58.67,STANDARD
EBS,L-25,-173,58.67,STANDARD
EBS,L-26,-173.63,58.67,STANDARD
EBS,L-27,-174.27,58.67,STANDARD
EBS,L-28,-174.9,58.67,STANDARD
EBS,L-29,-175.55,58.67,STANDARD
EBS,L-30,-176.2,58.67,STANDARD
EBS,L-31,-176.83,58.67,STANDARD
EBS,LK2423,-172.03,58.5,PRE1981_MISC
EBS,LK2524,-172.68,58.5,PRE1981_MISC
EBS,LK2625,-173.3,58.5,PRE1981_MISC
EBS,LK2726,-173.93,58.5,PRE1981_MISC
EBS,M-01,-167.88,59,STANDARD
EBS,M-02,-167.23,59,STANDARD
EBS,M-03,-166.58,59,STANDARD
EBS,M-04,-165.93,59,STANDARD
EBS,M-05,-165.3,59,STANDARD
EBS,M-06,-164.65,59,STANDARD
EBS,M-07,-164,59,STANDARD
EBS,M-08,-163.35,59,STANDARD
EBS,M-18,-168.53,59,STANDARD
EBS,M-19,-169.18,59,STANDARD
EBS,M-20,-169.83,59,STANDARD
EBS,M-21,-170.48,59,STANDARD
EBS,M-22,-171.13,59,STANDARD
EBS,M-23,-171.78,59,STANDARD
EBS,M-24,-172.43,59,STANDARD
EBS,M-25,-173.08,59,STANDARD
EBS,M-26,-173.72,59,STANDARD
